VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,samlet_ind
623,152-A,Ullerslev Apoteksudsa,8,Ullerslev centret,5540,04.04.2011,01-JUL-2016,1083,450,1083,"Ullerslev centret, 5540 Denmark",55.3601932,10.6661058,2011-04-04,2016-07-01,2011,2016,2011,POINT (10.6661058 55.3601932),2013,15323874.3,4855296.89,43.07,150848.65616
685,152-1,Ørbæk Apotek,7,Nyborgvej 2,5853,04.04.2011,,1083,450,1083,"Nyborgvej 2, 5853 Denmark",55.258529,10.673193,2011-04-04,,2011,2025,2011,POINT (10.673193 55.258529),2013,15323874.3,4855296.89,43.07,150848.65616
66,419,Bellinge Apoteksudsal,8,Elmegårdsvej 2,5250,01.03.2003,,1083,461,1083,"Elmegårdsvej 2, 5250 Denmark",55.336904,10.315616,2003-01-03,2015-06-30,2003,2015,2008,POINT (10.315616 55.336904),2013,18708406.693,5906262.2743,38.70,157005.91739
139,177-A,Folkebo Apoteksudsalg,8,Hjallesevej 207,5230,01.01.1992,27-NOV-2017,1083,461,1083,"Hjallesevej 207, 5230 Denmark",55.374928,10.395717,1992-01-01,2017-11-27,1992,2017,2008,POINT (10.395717 55.374928),2013,18708406.693,5906262.2743,38.70,157005.91739
320,357-A,Korup Apoteksudsalg,8,Åbakkevej 67,5210,27.09.2001,01-OCT-2015,1083,461,1083,"Åbakkevej 67, 5210 Denmark",55.417949,10.273958,2001-09-27,2015-10-01,2001,2015,2008,POINT (10.273958 55.417949),2013,18708406.693,5906262.2743,38.70,157005.91739
436,177-A,Næsby Apoteksudsalg,8,Bogensevej 49,5270,30.12.2013,01-OCT-2016,1083,461,1083,"Bogensevej 49, 5270 Denmark",55.418505,10.359541,2013-12-30,2016-10-01,2013,2016,2013,POINT (10.359541 55.418505),2013,18708406.693,5906262.2743,38.70,157005.91739
448,177,Odense Albani Apotek,6,Albanigade 54 F,5000,01-01-1899 00:00,,1083,461,1083,"Albanigade 54 F, 5000 Denmark",55.3923896,10.3971025,1899-01-01,,1899,2025,2008,POINT (10.3971025 55.39238960000001,2013,18708406.693,5906262.2743,38.70,157005.91739
449,282,Odense Apoteket Ørne,6,Vestergade 80,5000,"01Jan1919 0:00:00,000",,1083,461,1083,"Vestergade 80, 5000 Denmark",55.394452,10.382394,1919-01-01,,1919,2025,2008,POINT (10.382394 55.394452),2013,18708406.693,5906262.2743,38.70,157005.91739
450,123,Odense Bellinge Apote,6,Elmegårdsvej 2,5250,01-01-1871 00:00,,1083,461,1083,"Elmegårdsvej 2, 5250 Denmark",55.336904,10.315616,1871-01-01,,1871,2025,2008,POINT (10.315616 55.336904),2013,18708406.693,5906262.2743,38.70,157005.91739
451,357,Odense Bolbro Apotek,13,Middelfartvej 129,5200,"01Jan1960 0:00:00,000",,1083,461,1083,"Middelfartvej 129, 5200 Denmark",55.394098,10.347762,1960-01-01,,1960,2025,2008,POINT (10.347762 55.394098),2013,18708406.693,5906262.2743,38.70,157005.91739
452,345,Odense Dalum Apotek,6,Dalumvej 34,5250,"01Jan1938 0:00:00,000",,1083,461,1083,"Dalumvej 34, 5250 Denmark",55.372132,10.370652,1938-01-01,,1938,2025,2008,POINT (10.370652 55.37213199999999),2013,18708406.693,5906262.2743,38.70,157005.91739
453,151-1,Odense Rosengården A,7,Ørbækvej 75,5220,01.01.1996,,1083,461,1083,"Ørbækvej 75, 5220 Denmark",55.382488,10.428085,1996-01-01,,1996,2025,2008,POINT (10.428085 55.382488),2013,18708406.693,5906262.2743,38.70,157005.91739
454,198,Odense Sct. Hans Apot,6,Skibhusvej 66,5000,"01Jan1902 0:00:00,000",,1083,461,1083,"Skibhusvej 66, 5000 Denmark",55.406309,10.392826,1902-01-01,,1902,2025,2008,POINT (10.392826 55.406309),2013,18708406.693,5906262.2743,38.70,157005.91739
455,151,Odense Sct. Knuds Apo,6,Kongensgade 51,5000,01-01-1889 00:00,,1083,461,1083,"Kongensgade 51, 5000 Denmark",55.397363,10.380987,1889-01-01,,1889,2025,2008,POINT (10.380987 55.397363),2013,18708406.693,5906262.2743,38.70,157005.91739
456,198-1,Odense Vollsmose Apot,7,"Vollsmose Allé 10, Center Øst",5240,01.01.1992,,1083,461,1083,"Vollsmose Allé 10, Center Øst, 5240 Denmark",55.3902,10.5201,1992-01-01,,1992,2025,2008,POINT (10.5201 55.3902),2013,18708406.693,5906262.2743,38.70,157005.91739
590,417,Tarup Apotek,7,Rugvang 36-40,5210,01.01.1992,,1083,461,1083,"Rugvang 36-40, 5210 Denmark",55.4104024,10.3411862,1992-01-01,2016-08-31,1992,2016,2008,POINT (10.3411862 55.4104024),2013,18708406.693,5906262.2743,38.70,157005.91739
219,035-1,Hesselager Apotek,7,Langgade 5,5874,"01Jun2012 0:00:00,000",,1083,479,1083,"Langgade 5, 5874 Denmark",55.170855,10.734611,2012-06-01,,2012,2025,2012,POINT (10.734611 55.170855),2013,20625045.615,6428661.36,42.60,156040.0497
575,035,Svendborg Løve Apote,6,Vestergade 16,5700,01-01-1753 00:00,,1083,479,1083,"Vestergade 16, 5700 Denmark",55.059434,10.604763,1753-01-01,,1753,2025,2008,POINT (10.604763 55.059434),2013,20625045.615,6428661.36,42.60,156040.0497
576,161,Svendborg Sct. Nicola,6,Gerritsgade 7,5700,01-01-1896 00:00,,1083,479,1083,"Gerritsgade 7, 5700 Denmark",55.058854,10.608782,1896-01-01,,1896,2025,2008,POINT (10.608782 55.058854),2013,20625045.615,6428661.36,42.60,156040.0497
650,161-1,Vester-Skerninge Apot,7,Fåborgvej 40,5762,01.01.2007,,1083,479,1083,"Fåborgvej 40, 5762 Denmark",55.074208,10.454324,2007-01-01,2016-05-29,2007,2016,2008,POINT (10.454324 55.074208),2013,20625045.615,6428661.36,42.60,156040.0497
73,048,Bogense Apotek,13,Vestergade 9,5400,01-01-1799 00:00,31-OCT-2017,1083,480,1083,"Vestergade 9, 5400 Denmark",55.564572,10.088154,1799-01-01,2017-10-31,1799,2017,2008,POINT (10.088154 55.564572),2013,14084062.05,4433500.41,42.46,159377.70055
460,121,Otterup Apotek,6,Nørregade 2,5450,01-01-1871 00:00,,1083,480,1083,"Nørregade 2, 5450 Denmark",55.515298,10.39833,1871-01-01,,1871,2025,2008,POINT (10.39833 55.515298),2013,14084062.05,4433500.41,42.46,159377.70055
587,165,Søndersø Apotek,6,Odensevej 23,5471,01-01-1881 00:00,01-JUN-2015,1083,480,1083,"Odensevej 23, 5471 Denmark",55.484384,10.251017,1881-01-01,2015-06-01,1881,2015,2008,POINT (10.251017 55.484384),2013,14084062.05,4433500.41,42.46,159377.70055
485,027,Rudkøbing Apotek,6,Engdraget 1,5900,01-01-1753 00:00,,1083,482,1083,"Engdraget 1, 5900 Denmark",54.934778,10.715505,1753-01-01,,1753,2025,2008,POINT (10.715505 54.934778),2013,,,49.16,127561.50547
403,315,Marstal Apotek,6,Kirkestræde 23,5960,"01Jan1902 0:00:00,000",,1083,492,1083,"Kirkestræde 23, 5960 Denmark",54.853986,10.518279,1902-01-01,,1902,2025,2008,POINT (10.518279 54.853986),2013,,,49.91,126316.51127
679,315-A,Ærøskøbing Apoteks,8,Vestergade 34,5970,01.01.1996,31-MAY-2016,1083,492,1083,"Vestergade 34, 5970 Denmark",54.889546,10.410224,1996-01-01,2016-05-31,1996,2016,2008,POINT (10.410224 54.889546),2013,,,49.91,126316.51127
169,415,Gram Apotek,7,Torvet 3,6510,01.01.1992,,1083,510,1083,"Torvet 3, 6510 Denmark",55.2883174,9.0479571,1992-01-01,2015-06-22,1992,2015,2008,POINT (9.0479571 55.2883174),2013,20799762.48,6430821.015,41.87,157634.65129
184,291,Haderslev Hjorte Apot,6,Bispebroen 2 A,6100,01-01-1753 00:00,,1083,510,1083,"Bispebroen 2 A, 6100 Denmark",55.25049,9.4842702,1753-01-01,,1753,2025,2008,POINT (9.484270199999999 55.25049),2013,20799762.48,6430821.015,41.87,157634.65129
186,292,Haderslev Løve Apote,13,Jomfrustien 40,6100,01-01-1802 00:00,,1083,510,1083,"Jomfrustien 40, 6100 Denmark",55.250568,9.496685,1802-01-01,,1802,2025,2008,POINT (9.496685000000001 55.2505680,2013,20799762.48,6430821.015,41.87,157634.65129
672,311,Vojens Apotek,6,Rådhuscentret 11A,6500,"01Jan1922 0:00:00,000",,1083,510,1083,"Rådhuscentret 11A, 6500 Denmark",55.246032,9.291409,1922-01-01,,1922,2025,2008,POINT (9.291409 55.24603199999999),2013,20799762.48,6430821.015,41.87,157634.65129
69,088-A,Billund Apoteksudsalg,8,Butikstorvet 3,7190,01.01.1992,01-JUL-2015,1083,530,1083,"Butikstorvet 3, 7190 Denmark",56.718277,10.1150323,1992-01-01,2015-07-01,1992,2015,2008,POINT (10.1150323 56.718277),2013,,,40.98,173132.38568
175,088,Grindsted Apotek,6,Borgergade 29,7200,01-01-1842 00:00,,1083,530,1083,"Borgergade 29, 7200 Denmark",55.756261,8.931128,1842-01-01,,1842,2025,2008,POINT (8.931127999999999 55.756261),2013,,,40.98,173132.38568
52,285-A,Augustenborg Apoteksu,8,Storegade 41,6440,01.01.1992,30-NOV-2015,1083,540,1083,"Storegade 41, 6440 Denmark",54.946037,9.871386,1992-01-01,2015-11-30,1992,2015,2008,POINT (9.871385999999999 54.946037),2013,15203384.944,4723340.475,42.56,155550.4018
84,289-1,Broager Apotek,7,Storegade 6 A,6310,01.01.1992,,1083,540,1083,"Storegade 6 A, 6310 Denmark",54.8884033,9.6739573,1992-01-01,,1992,2025,2008,POINT (9.6739573 54.88840329999999),2013,15203384.944,4723340.475,42.56,155550.4018
178,289,Gråsten Apotek,6,Sundsnæs 13,6300,01-01-1828 00:00,,1083,540,1083,"Sundsnæs 13, 6300 Denmark",54.910857,9.588866,1828-01-01,,1828,2025,2008,POINT (9.588866000000001 54.9108569,2013,15203384.944,4723340.475,42.56,155550.4018
179,297-A,Guderup Apoteksudsalg,8,"Mosevej 1, Guderup",6430,01.04.2003,11-JUL-2014,1083,540,1083,"Mosevej 1, Guderup, 6430 Denmark",54.9912743,9.8681259,2003-01-04,2014-07-11,2003,2014,2008,POINT (9.868125900000001 54.9912743,2013,15203384.944,4723340.475,42.56,155550.4018
