,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,antal_apo,Kommune_y,Kode,Befolkning,År
302,21561125.9,7880214.72,40.76,0.1904505123,0.22626109120000001,169552.25105,0.4913181227,0.7519360268999999,0.9012942997,3,Ikast-Brande,756,40598,2015
305,22051070.4,8050007.0775,41.96,0.20877159210000001,0.22033987289999998,169037.18997,0.49669723479999994,0.7675306286,0.9158321914,4,Ringkøbing-Skjern,760,57042,2015
309,25498473.9,9180603.68,41.16,0.1908410163,0.23148508850000002,182584.97336,0.5122692066,0.7974469683,0.9379922328,3,Hedensted,766,46091,2015
312,,,44.35,0.2425226623,0.1948712977,147946.72638,0.45890011659999996,0.7263230597,0.9503012048,2,Morsø,773,20816,2015
314,18785218.53,6654803.574,42.76,0.2164068698,0.2051073136,159113.8009,0.4778823833,0.7407379881999999,0.9428252085,5,Skive,779,46641,2015
319,27903645.4,10076975.69,42.92,0.2178627447,0.2041781273,157288.68242,0.47769046810000004,0.7335408376000001,0.9260676461,3,Thisted,787,44078,2015
322,24458917.221,8670574.1957,40.62,0.1872285332,0.2228428834,171959.87915999998,0.49048701060000005,0.7493745009,0.923581952,7,Viborg,791,94985,2015
329,,,42.1,0.2118622909,0.22179376920000002,162493.69678,0.4606166764,0.7334511015999999,0.9406122279000001,2,Brønderslev,810,35781,2015
331,23016088.29,8290574.376,44.92,0.2468379643,0.1812236497,160683.1619,0.45199055439999997,0.7138910698,0.9327003026999999,5,Frederikshavn,813,60377,2015
336,16212785.1,5843638.1025,42.63,0.2178785929,0.20862827109999998,156511.19184,0.46874411850000003,0.7351120698,0.9235339982999999,4,Vesthimmerlands,820,37399,2015
340,,,40.74,0.1863528766,0.23784692440000002,186394.23601,0.5062755751,0.7940965583,0.9506894536,2,Rebild,840,28859,2015
342,26400785.15,9450065.48,42.62,0.208302675,0.2052645321,166146.52406,0.47592411869999995,0.7343559776,0.9343060481000001,3,Mariagerfjord,846,42134,2015
345,17673113.062,6363430.95,43.0,0.22331409559999998,0.209275724,160898.53916,0.4642141165,0.731501445,0.9475383373999999,4,Jammerbugt,849,38293,2015
349,23027177.85,8291169.51,39.24,0.1735626391,0.1842322981,172098.32438,0.4754276664,0.6922191443000001,0.8992062053000001,14,Aalborg,851,207805,2015
363,19835545.7,7114900.285,42.85,0.21721117239999999,0.20239715030000002,162480.37178,0.4637539065,0.7201171566,0.9286874195999999,6,Hjørring,860,65295,2015
0,22394272.52,7812124.31,35.36,0.1029526242,0.1757482809,214564.90901,0.5429055492,0.7228958862,0.7588980045,30,København,101,591481,2016
30,24336806.35,8387872.56,38.93,0.1667698049,0.17621409600000001,237146.47651999997,0.5262824147,0.7554699064,0.8152977008,6,Frederiksberg,147,104481,2016
36,15885686.19,5538184.812000001,41.53,0.2075843337,0.21521428129999998,190084.89208,0.4663660356,0.7492442781,0.8484861079000001,5,Ballerup,151,48224,2016
41,19914653.15,6907243.1,40.81,0.1894420408,0.2094173175,164729.91182,0.4519138621,0.697871742,0.6790687186,3,Brøndby,153,35322,2016
44,,,43.44,0.2383818589,0.22816349379999998,234373.70121,0.48081644100000004,0.8071306407,0.9147787051999999,1,Dragør,155,14142,2016
45,26407517.7,9123852.5475,41.14,0.1944462766,0.2265154014,330054.7998,0.49959576409999995,0.7693347694,0.8396707797,4,Gentofte,157,75350,2016
49,34343099.35,11836802.77,39.2,0.16408578699999998,0.22128680480000001,206375.44799000002,0.4985551664,0.7558415653,0.8009048453000001,3,Gladsaxe,159,67914,2016
