,Kommune,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,markedsvaerdix,yderkom,antal_apo,År
77,259,40.57,0.18868179129999998,0.2231255798,187236.03147000002,0.4855820396,0.7534305564,0.8998428973999999,59285,1259838.4206,0,4,2014
81,260,44.08,0.23542425820000001,0.1940720979,170538.48001,0.4598761408,0.7333257129999999,0.9076597131999999,30736,835317.81465,0,2,2014
83,265,40.52,0.1870486675,0.2137346224,204722.66074000002,0.49224440729999996,0.7550498594,0.9031729568000001,85026,1618662.5114,0,3,2014
86,269,40.6,0.1873608018,0.23654417219999999,217336.40093000003,0.5092751871,0.8009203197,0.9278441583,21552,1751470.7746,0,2,2014
88,270,44.39,0.2432015665,0.2019826215,185452.29726,0.47999901899999997,0.7663278833,0.9350060089,40855,1144504.386,0,2,2014
90,306,46.68,0.2782795041,0.1726006429,148273.13697,0.42761624340000004,0.6848863826999999,0.9485952644,32665,750520.5394199999,0,2,2014
92,316,41.42,0.19219236620000002,0.21770116609999998,177223.62701,0.47864004409999994,0.7385341395,0.9195664161,69035,1073812.62,0,3,2014
95,320,42.62,0.20568262539999999,0.20863759059999998,174346.83956,0.4821697925,0.7488216143,0.9436776048000001,35195,1128265.8113,0,3,2014
98,326,43.14,0.220181972,0.2034289959,163796.35734000002,0.4457838799,0.6998421921,0.9418551756,48469,831066.4282600001,0,3,2014
101,329,40.22,0.17201322489999998,0.2199386412,181652.50357,0.496239255,0.7497055937,0.8870582617,33573,1101511.2993,0,1,2014
102,330,41.87,0.20401588760000003,0.1989960281,160612.53734,0.4583360344,0.7036900289,0.9021898378000001,77293,1058126.4914,0,4,2014
106,336,44.02,0.2318722207,0.1964788093,178085.40037000002,0.484198081,0.7547904906,0.9449774907999999,22038,1246116.7735,0,1,2014
107,340,42.0,0.19661791280000002,0.2186082984,177276.87349,0.47929256719999996,0.7469499737,0.9503226467,29331,1230185.2195,0,3,2014
110,350,42.06,0.20616811420000003,0.22869129989999998,202212.71455,0.4993916154,0.7933194154000001,0.9452453818000001,27172,1263033.5718,0,1,2014
111,360,46.61,0.2699191149,0.17027705469999999,137450.91872000002,0.39266747409999997,0.6223165252,0.9304714432,43024,1012550.7884,0,3,2014
114,370,41.68,0.1979629562,0.2063731071,169628.49859,0.4723799247,0.724943404,0.9261461871,81687,895820.00069,0,5,2014
119,376,45.13,0.2482697398,0.17802364,146414.88664,0.4279244413,0.6736796785,0.9335485252,60829,900858.65999,0,6,2014
125,390,44.8,0.24514525739999998,0.190033208,150683.48817,0.4280081068,0.6821566411,0.9441115566,45471,922084.4329700001,0,4,2014
129,400,46.69,0.2660439892,0.1742492719,139817.49432,0.42496479579999996,0.6785890811,0.948928787,39828,751510.7263,0,3,2014
132,410,42.62,0.2126687271,0.21631402379999998,174343.70891,0.4805442321,0.7553546592,0.9408650537000001,37857,1036365.0403,0,2,2014
134,420,42.79,0.2156117527,0.2139550748,158799.3716,0.4607704326,0.7279534465999999,0.9504931159000001,41046,1326686.2587,0,3,2014
137,430,43.41,0.2277000373,0.20752458149999997,156214.10301,0.4537983643,0.7218123608,0.945639352,50953,1088937.5746,0,2,2014
139,440,43.57,0.22985502359999999,0.2049477411,161860.312,0.4477473293,0.7156086631999999,0.9361989612999999,23728,1455216.9918,0,2,2014
141,450,43.27,0.2242422323,0.2036233491,152722.09649,0.43383053,0.6908405411,0.9294827039,31573,1234461.7889,0,2,2014
143,461,38.77,0.1650850719,0.19461211260000003,159479.43449,0.45464926840000003,0.6653329002,0.8517745938,197480,1238637.5129,0,10,2014
153,479,42.84,0.21471683800000002,0.19955852940000002,159872.88173,0.4448094612,0.6907974373000001,0.9290407359,57988,1192172.7906,0,4,2014
157,480,42.71,0.2087495694,0.2121598347,160641.43302,0.46855878590000005,0.7264957265,0.9478342033,29030,932239.52548,0,3,2014
