,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry
116,189,Ejby Apotek,6,Algade 4,5592.0,"01Jan1901 0:00:00,000",,1083.0,410.0,1083.0,"Algade 4, 5592 Denmark",55.429067,9.928937,1901-01-01,,1901.0,,2008.0,POINT (9.928936999999999 55.429067)
117,131-2,Engelsborg Apotek,7,Fabrikvej 2,8800.0,"02Nov2015 0:00:00,000",,1082.0,791.0,1082.0,"Fabrikvej 2, 8800 Denmark",56.466799,9.400005,2015-11-02,,2015.0,,2015.0,POINT (9.400005 56.466799)
119,363-3,Esbjerg City Nord Apotek,7,Stormgade 157,6715.0,"01Oct2016 0:00:00,000",,1083.0,561.0,1083.0,"Stormgade 157, 6715 Denmark",55.511099,8.456387,2016-10-01,,2016.0,,2016.0,POINT (8.456386999999999 55.511099)
120,363,Esbjerg Jerne Apotek,6,Strandby Kirkevej 80,6705.0,"01Jan1967 0:00:00,000",,1083.0,561.0,1083.0,"Strandby Kirkevej 80, 6705 Denmark",55.478814,8.480167999999999,1967-01-01,,1967.0,,2008.0,POINT (8.480167999999999 55.478814)
121,158,Esbjerg Krone Apotek,6,Kongensgade 36,6700.0,"01Jan1929 0:00:00,000",,1083.0,561.0,1083.0,"Kongensgade 36, 6700 Denmark",55.465863,8.452508,1929-01-01,,1929.0,,2008.0,POINT (8.452508 55.465863)
122,158-1,Esbjerg Krone Apotek Broen,7,"Exnersgade 18, st. 15",6700.0,"10Apr2017 0:00:00,000",,1083.0,561.0,1083.0,"Exnersgade 18, st. 15, 6700 Denmark",55.4667,8.45,2017-04-10,,2017.0,,2017.0,POINT (8.449999999999999 55.4667)
123,233,Esbjerg Neptun Apotek,6,Stormgade 2,6700.0,"01Jan1910 0:00:00,000",,1083.0,561.0,1083.0,"Stormgade 2, 6700 Denmark",55.46678299999999,8.442996,1910-01-01,,1910.0,,2008.0,POINT (8.442996000000001 55.46678299999999)
124,154-1,Espergærde Apotek,7,Nørremarken 3,3060.0,01.01.1992,,1084.0,217.0,1084.0,"Nørremarken 3, 3060 Denmark",55.996762,12.5432234,1992-01-01,,1992.0,,2008.0,POINT (12.5432234 55.996762)
125,206,Fakse Apotek,6,Rønnedevej 15,4640.0,01-01-1892 00:00,,1085.0,320.0,1085.0,"Rønnedevej 15, 4640 Denmark",55.255616,12.116181,1892-01-01,,1892.0,,2008.0,POINT (12.116181 55.255616)
127,363-1,Fanø Apotek,7,Hovedgaden 64,6720.0,01.03.2008,,1083.0,563.0,1083.0,"Hovedgaden 64, 6720 Denmark",55.444787,8.403412,2008-01-03,,2008.0,,2008.0,POINT (8.403411999999999 55.444787)
129,259-2,Farsø Apotek,7,Torvet 8,9640.0,"01May2018 0:00:00,000",,1081.0,820.0,1081.0,"Torvet 8, 9640 Denmark",56.771268000000006,9.340145,2018-05-01,,2018.0,,2018.0,POINT (9.340145 56.77126800000001)
130,278,Farum Apotek,6,Farum Bytorv 69,3520.0,01-01-1885 00:00,,1084.0,190.0,1084.0,"Farum Bytorv 69, 3520 Denmark",55.814654000000004,12.381689,1885-01-01,,1885.0,,2008.0,POINT (12.381689 55.814654)
131,012-A1,Fensmark Apoteksudsalg,8,"Holmegårdsvej 1 A, Fensmark",4684.0,01.01.1992,,1085.0,370.0,1085.0,"Holmegårdsvej 1 A, Fensmark, 4684 Denmark",55.3411,12.0694,1992-01-01,,1992.0,,2008.0,POINT (12.0694 55.3411)
133,029-2,Fields Apotek,7,Arne Jacobsens Allé 12,2300.0,"20Jul2015 0:00:00,000",,1084.0,101.0,1084.0,"Arne Jacobsens Allé 12, 2300 Denmark",55.6305777,12.5767812,2015-07-20,,2015.0,,2015.0,POINT (12.5767812 55.6305777)
135,039-1,Fjerritslev Apotek,7,Østergade 11-13,9690.0,"01Jul2010 0:00:00,000",,1081.0,849.0,1081.0,"Østergade 11-13, 9690 Denmark",57.08752,9.2860061,2010-07-01,,2010.0,,2010.0,POINT (9.2860061 57.08752)
137,068-2,Fjord Apoteket Frederikssund,7,Kalvøvej 2A,3600.0,"12Nov2018 0:00:00,000",,1084.0,250.0,1084.0,"Kalvøvej 2A, 3600 Denmark",55.836156,12.05828,2018-11-12,,2018.0,,2018.0,POINT (12.05828 55.836156)
138,177-2,Folkebo Apotek,7,Hjallesevej 201B,5230.0,"27Nov2017 0:00:00,000",,1083.0,461.0,1083.0,"Hjallesevej 201B, 5230 Denmark",55.380742000000005,10.3959819,2017-11-27,,2017.0,,2017.0,POINT (10.3959819 55.38074200000001)
140,154-2,Fredensborg Apotek,7,Jernbanegade 3,3480.0,01.01.1992,,1084.0,210.0,1084.0,"Jernbanegade 3, 3480 Denmark",55.979023,12.398907000000001,1992-01-01,,1992.0,,2008.0,POINT (12.398907 55.979023)
141,223,Fredericia Krone Apotek,13,Prinsessegade 45-49,7000.0,"01Jan1907 0:00:00,000",,1083.0,607.0,1083.0,"Prinsessegade 45-49, 7000 Denmark",55.568613799999994,9.7577204,1907-01-01,,1907.0,,2008.0,POINT (9.7577204 55.56861379999999)
142,015-2,Fredericia Løve Apoteket Vestcentret,7,Venusvej 10 B,7000.0,"01Jul2015 0:00:00,000",,1083.0,607.0,1083.0,"Venusvej 10 B, 7000 Denmark",55.5672145,9.724248300000001,2015-07-01,,2015.0,,2015.0,POINT (9.724248300000001 55.5672145)
