Startdato;Ophørsdato;Navn;Adresse;Postnr.;By;Hovedbranche;Navn_lille
01.01.1992;;ESPERGÆRDE APOTEK, ESPERGÆRDE CENTER;Nørremarken 3;3060;Espergærde;477300 Apoteker;espergærde apotek, espergærde center
01.01.1992;31.03.2012;Folkebo Apoteksudsalg v/Bente Møgelhøj;Hjallesevej 207;5230;Odense;477300 Apoteker;folkebo apoteksudsalg v/bente møgelhøj
01.01.1991;;Ishøj Apotek v/Lars Østergaard Christensen;Ishøj Nørregade 15;2635;Ishøj;477300 Apoteker;ishøj apotek v/lars østergaard christensen
02.07.2008;28.02.2010;Kolind Apoteksudsalg v/Lægemiddelstyrelsen;Søndergade 4;8560;Kolind;477300 Apoteker;kolind apoteksudsalg v/lægemiddelstyrelsen
02.07.2008;28.02.2010;Ryomgård Apoteksudsalg v/Lægemiddelstyrelsen;Vestergade 35;8550;Ryomgård;477300 Apoteker;ryomgård apoteksudsalg v/lægemiddelstyrelsen
01.06.1999;;KØGE TORVETS APOTEK V/PETER SCHJØRRING-THYSSEN ;Brogade 1A -  st.;4600;Køge;477300 Apoteker;køge torvets apotek v/peter schjørring-thyssen 
01.01.1992;31.05.2012;apoteksudsalg fra trekroner apotek;Frugthaven 14;2500;Valby;477300 Apoteker;
01.03.2008;05.02.2017;apoteksudsalget på kingosvej;Kingosvej 54;3000;Helsingør;;
05.02.2009;31.01.2016;erritsø apoteksudsalg;Erritsø Bygade 107;7000;Fredericia;;
01.01.1992;;fensmark apoteksudsalg;Holmegaardsvej 1A;4684;Fensmark;;
01.03.1994;;frederiksberg dalgas boulevard apotek;Dalgas Boulevard 91;2000;Frederiksberg;;
01.01.2000;;glarbjerg apoteksudsalg;Glarbjergvej 85;8900;Randers;;
01.01.1991;30.06.2005;greve apotek (gl);Stationsholmen 6E 2670 Greve;2670;Greve;;
1.07.2005;;greve apotek (gl);Greve Midtby Center 14B 2670 Greve;2670;Greve;;
01.04.2000;19.06.2016;hedegårdens apoteksudsalg;Hedeparken 9;2750;Ballerup;;
01.07.2010;30.09.2020;hjortespring-centrets apoteksudsalg;Dildhaven 45 2730 Herlev;2730;Herlev;;
30.04.2008;31.12.2010;høje gladsaxe torv apoteksudsalg;Høje Gladsaxe Torv 6;2860;Søborg;;
01.01.1992;30.10.2016;høje tåstrup apoteksudsalg;Høje Taastrup Boulevard 44;2630;Taastrup;;
05.03.2008;01.05.2014;hørve apoteksudsalg;Vallekildevej 3;4534;Hørve;;
17.05.2012;11.11.2015;kirkebjerg torv apoteksudsalg;Park Allé 288;2605;Brøndby;;
16.08.2010;;kolding storcenter apoteksudsalg;Skovvangen 42;6000;Kolding;;
01.02.1988;31.05.2007;københavn apoteket ryparken;Lyngbyvej 154;2099;København Ø;;
02.07.2008;30.06.2009;københavn apoteket ryparken;Lyngbyvej 155;2100;København Ø;;
25.03.2015;30.09.2016;køgevej apoteksudsalg;Køgevej 108D;4000;Roskilde;;
01.01.1992;;munkebo apoteksudsalg;Bycentret 208;5330;Munkebo;;
01.04.2000;17.09.2013;maaløv apotek;Måløv Stationsplads 2A;2760;Måløv;;
17.09.2013;;maaløv apotek;Stationsvej 7;2760;Måløv;;
01.01.1991;;næstved sct. jørgens apotek;Sct Jørgens Park 34;4700;Næstved;;
01.01.1992;;næstved storcenter apoteksudsalg;Næstved Storcenter 45;4700;Næstved;;
01.01.1996;;odense rosengården apotek;Ørbækvej 75;5220;Odense SØ;;
01.01.1992;;odense vollsmose apotek;Vollsmose Allé 10;5240;Odense NØ;;
01.10.2001;31.08.2015;prøvestenscentrets apoteksudsalg;Birkedalsvej 7;3000;Helsingør;;
01.01.2007;19.09.2019;stenløse apotek filial;Stenløse Center 2 ;3660;Stenløse;;
01.06.2004;31.12.2006;stenløse apotek filial;Egedal Centret 2;3660;Stenløse;;
01.05.2000;;storcenter nord apoteksudsalg;Finlandsgade 17;8200;Århus N;;
01.01.2000;26.06.2016;tilst apoteksudsalg;Agerøvej 7;8381;Tilst;;
01.01.1992;;tune apoteksudsalg;Tune Center 3B;4030;Tune;;
31.03.1992;31.01.2012;valby langgade apoteksudsalg;Valby Langgade 195;2500;Valby;;
01.01.1992;31.12.2001;vejgaard apoteksudsalg - fyrkilden;Saltumvej 7;9220;Aalborg Øst;;
01.01.2007;29.05.2016;vester-skerninge apotek;Fåborgvej 80;5762;Vester Skerninge;;
19.11.1979;31.12.2006;vester-skerninge apotek;Fåborgvej 80;5762;Vester Skerninge;;
