ApotekNr;Navn;TypeID;Adresse;PostNr;Startdato;Slutdato;amt;Kommune;Region
005;Kolding Løve Apotek;6;Sundhedshuset, Jernbanegade 26;6000;01-01-1753 00:00;;1083;621;1083
005-1;Kolding Løve Apotek - Storcenter;7;Kolding Storcenter, Skovvangen 42;6000;01Jul2015 0:00:00,000;;1083;621;1083
005-A1;Kolding Storcenter Apoteksudsalg;8;Skovvangen 42;6000;16.08.2010;01Jul2015 0:00:00,000;1083;621;1083
142;Kolding Svane Apotek;6;Låsbygade 2;6000;01-01-1885 00:00;31Oct2000 0:00:00,000;60;;
070-1;Kolind Apotek;7;Drasbeksgade 16;8560;02.07.2008;;1082;706;1082
323-4;Kongelundens Apotek;7;Kongelundsvej 364;2770;06Dec2018 0:00:00,000;;1084;185;1084
079-3;Kongevejens Apotek;7;Usserød Kongevej 65 B;2970;09Nov2015 0:00:00,000;;1084;223;1084
079-A1;Kongevejens Apoteksudsalg;8;Usserød Kongevej 65B;2970;01.01.2000;09Nov2015 0:00:00,000;1084;223;1084
043;Korsør Apotek;6;Algade 49;4220;01-01-1761 00:00;;1085;330;1085
357-2;Korup Apoteksfilial;7;Åbakkevej 67 D;5210;01Oct2015 0:00:00,000;;1083;461;1083
357-A1;Korup Apoteksudsalg;8;Åbakkevej 67;5210;27.09.2001;01Oct2015 0:00:00,000;1083;461;1083
060-4;Kridthøj Apotek filial af Skanderborg Apotek;7;Olaf Rudes Vej 22;8270;02May2016 0:00:00,000;;1082;751;1082
011-A2;Kristrup Apoteksudsalg;8;Valdemarsvej 1 ST;8960;01.01.2000;01Sep2015 0:00:00,000;1082;730;1082
011-1;Kristrup Løve Apotek;7;Valdemarsvej 1 ST;8960;01Sep2015 0:00:00,000;;1082;730;1082
188-2;Kvægtorvets Apotek;7;Kvægtorvet 8;4700;09Mar2020 0:00:00,000;;1085;370;
243;København Amagerbro Apotek;6;Reberbanegade 3;2300;01Jan1913 0:00:00,000;;1084;101;1084
341;København Apoteket Rosen;6;Tuborgvej 269;2400;01Jan1935 0:00:00,000;;1084;101;1084
341-1;København Apoteket Ryparken;7;Lyngbyvej 155;2100;02.07.2008;30.06.2009;1084;101;1084
420;København Apoteket Ryparken;7;Lyngbyvej 154;2100;01.02.1988;31.05.2007;1084;101;1084
242;København Apoteket Svalen;6;Nørrebrogade 224;2200;01Jan1913 0:00:00,000;;1084;101;1084
232;København Apoteket Trianglen;6;Ndr. Frihavnsgade 3;2100;01Jan1909 0:00:00,000;;1084;101;1084
303;København Archiv;6;Jagtevej 11, 2200 København N;;19Jan1921 0:00:00,000;31May1996 0:00:00,000;;;
128;København Blågårds;6;Korsgade 45, København;;15-02-1876 00:00;30Sep1973 0:00:00,000;;;
324;København Borups Alle;6;Borup Alle 178 København NV;;18Apr1930 0:00:00,000;31Aug1981 0:00:00,000;;;
193;København Brønshøj Apotek;6;Frederikssundsvej 121;2700;01Jan1902 0:00:00,000;23Dec2004 0:00:00,000;13;101;
029;København Christianshavns Apotek;6;Torvegade 47;1400;01-01-1753 00:00;;1084;101;1084
139;København Delfin Apoteket;6;Nørre Farimagsgade 63;1364;01-01-1884 00:00;31May2002 0:00:00,000;13;101;
329;København Dyveke Apotek;6;Øresundsvej 53;2300;01Jan1932 0:00:00,000;31May2010 0:00:00,000;1084;101;1084
309;København Enghave Apotek;13;Enghave Plads 25;1670;01Jan1922 0:00:00,000;;1084;101;1084
227;København Frihavns;6;Strandboulevarden 61, København;;07Apr1909 0:00:00,000;30Sep1991 0:00:00,000;;;
061;København Gammel torvs Apotek;6;På hjørnet af nytorv og Frederiksgade, København;;07-06-1811 00:00;30Apr1991 0:00:00,000;;;
186;København Gefions;6;Lipkesgade 28, København;;24Aug1900 0:00:00,000;31Aug1972 0:00:00,000;;;
163;København Griffenfeld;6;Nørrebrogade 53, København;;27-02-1897 00:00;30Apr1964 0:00:00,000;;;
229;København Griffenfeld (II);6;Åboulevard 70, 2200 København N;;07Apr1909 0:00:00,000;30Nov1987 0:00:00,000;;;
334;København Grøndalsapoteket;13;Godthåbsvej 187A;2720;01Jan1935 0:00:00,000;;1084;101;1084
149;København Gyldenløves;6;Gyldenløvesgade 4, København+E64;;23-01-1889 00:00;31Mar1966 0:00:00,000;;;
133;København H.C. Ørsted;6;H.C.Ørstedvej 19 B., København;;15-03-1881 00:00;31Oct1972 0:00:00,000;;;
340;København Hamlets Apotek;6;Hamletsgade 2;2200;01Jan1937 0:00:00,000;01Jun2009 0:00:00,000;1084;101;1084
341-2;København Hamlets Apotek;7;Hamletsgade 2;2200;01Jun2009 0:00:00,000;;1084;101;1084
050;København Hjorte;6;Gothersgade 35, København;;27-12-1799 00:00;30Jun1967 0:00:00,000;;;
308;København Holmbladsgades Apotek;6;Holmbladsgade 20;2300;01Jan1922 0:00:00,000;28Feb2003 0:00:00,000;13;101;
322;København Husum Apotek;6;Frederikssundsvej 320;2700;01Jan1929 0:00:00,000;;1084;101;1084
029-1;København Islands Brygge Apotek;7;Islands Brygge 3-5;2300;01Feb2003 0:00:00,000;;1084;101;1084
162;København Istedgades Apotek;6;Istedgade 130, 1650 kbh.V;;27-02-1896 00:00;31Dec1996 0:00:00,000;;;
041;København Kgl. Fredriks Hospital;6;Bredgade 66, København;;06-08-1756 00:00;30Jun1965 0:00:00,000;;;
016;København Kong Salomons Apotek;6;;;01Jan1900 0:00:00,000;01Jul1961 0:00:00,000;;;
021;København Kongelig Hof Apotek;6;Store Kongensgade 45;1264;01-01-1753 00:00;;1084;101;1084
126;København Krone;6;Holbergsgade 11, kbh.K;;15-02-1876 00:00;31Jul1976 0:00:00,000;;;
110;København Kultorvet;6;Lille Kjøbmagergade 57, København;;14-07-1863 00:00;31Jul1980 0:00:00,000;;;
338;København Linde Apoteket;6;Frederikssundsvej 152;2700;01Jan1937 0:00:00,000;;1084;101;1084
009;København Løve Apotek;6;;;01Jan1900 0:00:00,000;30Apr1971 0:00:00,000;;;
090;København Nørrebro Apotek;6;Nørrebrogade 8;2200;01-01-1843 00:00;;1084;101;1084
336;København Oxford Allé Apotek;6;Amagerbrogade 204 B;2300;01Jan1936 0:00:00,000;01Jan2009 0:00:00,000;1084;101;1084
153;København Sct. Jacobs;6;Østerbrogade 98, København;;31-05-1893 00:00;30Jun1956 0:00:00,000;;;
190;København Sct. Johannes;6;Fredensgade 5, København;;06Feb1901 0:00:00,000;31Jul1968 0:00:00,000;;;
148;København Sct. Matthæus;6;Istegade 24, Kbh.V;;23-01-1889 00:00;31Jan1976 0:00:00,000;;;
134;København Sct. Stefans Apotek;13;Nørrebrogade 140;2200;01-01-1881 00:00;;1084;101;1084
127;København Sct.Pouls;6;Adelgade 115, København;;15-02-1876 00:00;31Aug1974 0:00:00,000;;;
140;København Sorte Hest;6;Vesterbrogade 124, København;;01-08-1884 00:00;31Oct1970 0:00:00,000;;;
183;København Steno Apotek;6;Vesterbrogade 6 C;1620;01Jan1900 0:00:00,000;;1084;101;1084
230;København Stjernen;6;Nørrebrogade 184, København N;;07Apr1909 0:00:00,000;30Nov1987 0:00:00,000;;;
261;København Store Vibenshus;6;Lyngbyvej 1, København;;11Sep1916 0:00:00,000;30Apr1991 0:00:00,000;;;
135;København Sundby;6;Amagerbrogade 65, kbh.S;;07-06-1881 00:00;29Apr1989 0:00:00,000;;;
001;København Svane Apotek;6;Østergade 18;;01Jan1900 0:00:00,000;28Feb1994 0:00:00,000;13;;
332;København Sydhavnsapoteket;13;Borgbjergsvej 15;2450;01Jan1933 0:00:00,000;;1084;101;1084
231;København Sønderboulevard;6;Sønder Boulevard 52, København;;07Apr1909 0:00:00,000;08Feb1973 0:00:00,000;;;
199;København Sønderbro Apotek;6;Amagerbrogade 158;2300;01Jan1902 0:00:00,000;;1084;101;1084
318;København Trekroner Apotek;6;Vigerslev Allé 38;2500;01Jan1925 0:00:00,000;;1084;101;1084
031;København Vaisenhus Apotek;13;Landemærket 3-5;1119;01-01-1753 00:00;;1084;101;1084
197;København Valby Apotek;6;Valby Langgade 49;2500;01Jan1902 0:00:00,000;;1084;101;1084
307;København Vanløse Apotek;6;Jyllingvej 73, 2720 Vanløse;;18Aug1922 0:00:00,000;31Jan1993 0:00:00,000;;;
046;København Vesterbro;6;Øhlenschlægersgade København;;16-01-1795 00:00;01Mar1991 0:00:00,000;;;
228;København Ægris;6;Ægrisgade 55, København;;07Apr1909 0:00:00,000;31Jan1976 0:00:00,000;;;
202;København Øresunds Apotek;6;Østerbrogade 151;2100;01Jan1902 0:00:00,000;;1084;101;1084
114;København Østerbro;6;Hjørnet af Østerbrogade, København;;20-03-1869 00:00;31Mar1993 0:00:00,000;;;
320;København Østerbro Apotek;13;Østerbrogade 101;2100;01Jan1929 0:00:00,000;;1084;101;1084
217;Københavnes Rådhus;6;Vester Voldgade 86, København;;18May1905 0:00:00,000;29Feb1972 0:00:00,000;;;
368;Køge Boholte Apotek;6;Marksvinget 31;4600;01Jan1999 0:00:00,000;;1085;259;1085
014-2;Køge Stations Apotek;7;Rådhusstræde 10G - Overfor Køge S-station;4600;14Jun2018 0:00:00,000;;1085;259;1085
014;Køge Torvets Apotek;6;Brogade 1;4600;19.11.1979;;1085;259;1085
017-A1;Køgevej Apoteksudsalg;8;Køgevej 108 D;4000;25.03.2015;17Sep2016 0:00:00,000;1085;265;1085
170-5;Køgevejens Apotek;7;Roskildevænget 2B;4000;01Apr2020 0:00:00,000;;1085;265;1085
152;Langeskov Apotek;6;Langeskov Centret 27;5550;01-01-1891 00:00;;1083;440;1083
152-A1;Langeskov Apoteksudsalg;8;Langeskov Centret 6;5550;01.01.1992;31Aug2013 0:00:00,000;1083;440;
274-2;Langå Apotek;7;Bredgade 18;8870;01Jun2017 0:00:00,000;;1082;730;1082
274-A2;Langå Apoteksudsalg;8;Bredgade 18;8870;01.01.2000;01Jun2017 0:00:00,000;1082;730;1082
064;Lemvig Apotek;6;Vasen 6;7620;01-01-1813 00:00;;1082;665;1082
060-5;Lillesø Apotek;7;Adelgade 27;8660;01Jan2020 0:00:00,000;;1082;746;1082
092-1;Lindholm Apotek;7;Lindholm Nærbanevej 1D;9400;01Jul2015 0:00:00,000;;1081;851;1081
092-A3;Lindholm Apoteksudsalg;8;Lindholm Nærbanevej 1D;9400;28Mar2014 0:00:00,000;01Jul2015 0:00:00,000;1081;851;
341-3;Lufthavns Apotek København;7;Lufthavnsboulevarden 6 T2-ST-386;2770;01Nov2015 0:00:00,000;01Nov2019 0:00:00,000;1084;185;1084
350-2;Lufthavns Apotek København;7;Lufthavnsboulevarden 6 T2-ST-386;2770;01Nov2019 0:00:00,000;;1084;185;1084
265;Lundby;6;Lundby Hovedgade 63, Vordingborg;;19Mar1907 0:00:00,000;26Sep1981 0:00:00,000;;;
032-1;Lundby Apotek;7;Lundby Hovedgade 90;4750;01.10.1991;;1085;390;1085
286-3;Lunderskov Apotek;7;Iver Dahlsvej 4;6640;26Nov2018 0:00:00,000;;1083;621;1083
416;Lunderskov Apoteksudsalg;6;Storegade 2;6640;01.01.1992;30.06.2009;1083;621;1083
286-2-A2;Lunderskov Apoteksudsalg;8;Storegade 2;6640;01.07.2008;26Nov2018 0:00:00,000;1083;621;1083
342;Lyngby Løve Apotek;6;Jernbanepladsen 43;2800;11.04.1979;;1084;173;1084
342-1;Lyngby Storcenter Apotek;7;Lyngby Storcenter nr. 1, st., dør 1;2800;11Apr2016 0:00:00,000;;1084;173;1084
059;Lyngby Svane Apotek;6;Lyngby Hovedgade 27;2800;01-01-1806 00:00;;1084;173;1084
278-1;Lynge Apotek;7;Lynge Bytorv 5;3540;04Dec2017 0:00:00,000;;1084;201;1084
278-A1;Lynge Apoteksudsalg;8;Lynge Bytorv 9;3540;01.01.2000;04Dec2017 0:00:00,000;1084;201;1084
178-1;Lystrup Apotek;7;Lystrup Centervej 85;8520;03Dec2001 0:00:00,000;;1082;751;1082
084;Løgstør Apotek;13;Østerbrogade 1 B;9670;01-01-1832 00:00;01May2018 0:00:00,000;1081;820;1081
181-2;Løgstør Apotek;7;Østerbrogade 1 B;9670;01May2018 0:00:00,000;;1081;820;1081
104-2;Løgten Apotek;7;Bytorvet 1 A;8541;21Sep2015 0:00:00,000;;1082;751;1082
104-A2;Løgten Apoteksudsalg;8;Bytorvet 1 A;8541;30.08.2009;21Sep2015 0:00:00,000;1082;751;1082
300;Løgumkloster Apotek;6;Østergade 5 B;6240;01-01-1777 00:00;31Dec2009 0:00:00,000;1083;550;1083
302-1;Løgumkloster Apotek;7;Østergade 5B;6240;01Jul2010 0:00:00,000;;1083;550;1083
