TOT_P,GRD_ID,CNTR_CODE,METHD_CL,YEAR,DATA_SRC,TOT_P_CON_DT
5594,1kmN3618E4486,DK,A,2011,DK,0
5714,1kmN3619E4477,DK,A,2011,DK,0
3078,1kmN3619E4478,DK,A,2011,DK,0
3562,1kmN3619E4479,DK,A,2011,DK,0
7283,1kmN3619E4480,DK,A,2011,DK,0
1277,1kmN3619E4481,DK,A,2011,DK,0
281,1kmN3619E4482,DK,A,2011,DK,0
58,1kmN3619E4483,DK,A,2011,DK,0
10155,1kmN3619E4484,DK,A,2011,DK,0
13341,1kmN3619E4485,DK,A,2011,DK,0
4479,1kmN3619E4486,DK,A,2011,DK,0
312,1kmN3619E4487,DK,A,2011,DK,0
4842,1kmN3620E4477,DK,A,2011,DK,0
8305,1kmN3620E4478,DK,A,2011,DK,0
12706,1kmN3620E4479,DK,A,2011,DK,0
3528,1kmN3620E4480,DK,A,2011,DK,0
12565,1kmN3620E4481,DK,A,2011,DK,0
3529,1kmN3620E4482,DK,A,2011,DK,0
8550,1kmN3620E4483,DK,A,2011,DK,0
16861,1kmN3620E4484,DK,A,2011,DK,0
19195,1kmN3620E4485,DK,A,2011,DK,0
4977,1kmN3620E4486,DK,A,2011,DK,0
4929,1kmN3621E4477,DK,A,2011,DK,0
22639,1kmN3621E4481,DK,A,2011,DK,0
4696,1kmN3621E4482,DK,A,2011,DK,0
3604,1kmN3621E4483,DK,A,2011,DK,0
9710,1kmN3621E4484,DK,A,2011,DK,0
1377,1kmN3621E4485,DK,A,2011,DK,0
9,1kmN3621E4486,DK,A,2011,DK,0
10735,1kmN3622E4477,DK,A,2011,DK,0
9371,1kmN3622E4482,DK,A,2011,DK,0
7305,1kmN3622E4483,DK,A,2011,DK,0
4065,1kmN3622E4484,DK,A,2011,DK,0
325,1kmN3622E4485,DK,A,2011,DK,0
3366,1kmN3623E4476,DK,A,2011,DK,0
6642,1kmN3623E4477,DK,A,2011,DK,0
7096,1kmN3623E4478,DK,A,2011,DK,0
18766,1kmN3623E4481,DK,A,2011,DK,0
12531,1kmN3623E4482,DK,A,2011,DK,0
8808,1kmN3623E4483,DK,A,2011,DK,0
1189,1kmN3623E4484,DK,A,2011,DK,0
19,1kmN3623E4485,DK,A,2011,DK,0
4186,1kmN3624E4476,DK,A,2011,DK,0
5393,1kmN3624E4477,DK,A,2011,DK,0
7603,1kmN3624E4478,DK,A,2011,DK,0
9285,1kmN3624E4479,DK,A,2011,DK,0
15062,1kmN3624E4480,DK,A,2011,DK,0
20808,1kmN3624E4481,DK,A,2011,DK,0
3433,1kmN3624E4482,DK,A,2011,DK,0
20193,1kmN3624E4483,DK,A,2011,DK,0
1616,1kmN3624E4484,DK,A,2011,DK,0
4,1kmN3624E4485,DK,A,2011,DK,0
