VAR1,ApotekNr,Navn,TypeID,Adresse,PostNr,Startdato,Slutdato,amt,Kommune,Region,Adresse_v2,latitudes,longitudes,Stdato,Sldato,Styear,Slyear,dummy,geometry,Year,GNS_OMS,GNS_MED_PROFIT,ALDER,d65,d17,samlet_ind,Besk,Besk1864,DK,Befolkning,markedsvaerdix,yderkom
589,130,Skibby Apotek,6,Hovedgaden 40,4050,01-01-1876 00:00,,1084,250,1084,"Hovedgaden 40, 4050 Denmark",55.751455,11.959362,1876-01-01,,1876,2025,2008,POINT (11.959362 55.751455),2014,,,42.65,0.2165582149,0.2155449981,188837.81489,0.485988051,0.7742242679,0.9335362417,44413,1036534.212,0
179,370,Greve Apotek,6,Greve Midtby Center 14 B,2670,"27Jun2005 0:00:00,000",,1085,253,1085,"Greve Midtby Center 14 B, 2670 Denmark",55.5822503,12.2952687,2005-06-27,,2005,2025,2008,POINT (12.2952687 55.5822503),2014,,,41.37,0.2022320057,0.222954848,200761.80882,0.4928713562,0.779010452,0.8677046793,48835,1541778.5926,0
274,365,Hundige Apotek,6,Over Bølgen 19H,2670,"01Jan1976 0:00:00,000",,1085,253,1085,"Over Bølgen 19H, 2670 Denmark",55.5970596,12.3268903,1976-01-01,,1976,2025,2008,POINT (12.3268903 55.5970596),2014,,,41.37,0.2022320057,0.222954848,200761.80882,0.4928713562,0.779010452,0.8677046793,48835,1541778.5926,0
76,180,Borup Apotek,6,Hovedgaden 15,4140,01-01-1899 00:00,,1085,259,1085,"Hovedgaden 15, 4140 Denmark",55.494647,11.97249,1899-01-01,,1899,2025,2008,POINT (11.97249 55.494647),2014,18357294.6,5699346,40.57,0.1886817913,0.2231255798,187236.03147,0.4855820396,0.7534305564,0.8998428974,59285,1259838.4206,0
410,368,Køge Boholte Apotek,6,Marksvinget 31,4600,"01Jan1999 0:00:00,000",,1085,259,1085,"Marksvinget 31, 4600 Denmark",55.4495706,12.172474,1999-01-01,,1999,2025,2008,POINT (12.172474 55.4495706),2014,18357294.6,5699346,40.57,0.1886817913,0.2231255798,187236.03147,0.4855820396,0.7534305564,0.8998428974,59285,1259838.4206,0
412,014,Køge Torvets Apotek,6,Brogade 1,4600,19.11.1979,,1085,259,1085,"Brogade 1, 4600 Denmark",55.4545499,12.1812478,1979-11-19,,1979,2025,2008,POINT (12.1812478 55.4545499),2014,18357294.6,5699346,40.57,0.1886817913,0.2231255798,187236.03147,0.4855820396,0.7534305564,0.8998428974,59285,1259838.4206,0
749,368-1,Ølby Apotek,7,Ølby Center 25,4600,01.01.1992,,1085,259,1085,"Ølby Center 25, 4600 Denmark",55.458,12.1821,1992-01-01,,1992,2025,2008,POINT (12.1821 55.458),2014,18357294.6,5699346,40.57,0.1886817913,0.2231255798,187236.03147,0.4855820396,0.7534305564,0.8998428974,59285,1259838.4206,0
158,080,Frederiksværk Apotek,6,Nørregade 4,3300,11-12-1857 00:00,,1084,260,1084,"Nørregade 4, 3300 Denmark",55.973217,12.021654,1857-11-12,,1857,2025,2008,POINT (12.021654 55.973217),2014,,,44.08,0.2354242582,0.1940720979,170538.48001,0.4598761408,0.733325713,0.9076597132,30736,835317.81465,0
273,080-1,Hundested Apotek,6,Nørregade 54,3390,01.01.1992,,1084,260,1084,"Nørregade 54, 3390 Denmark",55.9572481,11.8536231,1992-01-01,,1992,2025,2008,POINT (11.8536231 55.9572481),2014,,,44.08,0.2354242582,0.1940720979,170538.48001,0.4598761408,0.733325713,0.9076597132,30736,835317.81465,0
314,170-1,Jyllinge Apotek,7,Jyllinge Center 31,4040,"01Dec2001 0:00:00,000",,1085,265,1085,"Jyllinge Center 31, 4040 Denmark",55.7535209,12.1086079,2001-12-01,,2001,2025,2008,POINT (12.1086079 55.7535209),2014,31047882.3,9858654.66,40.52,0.1870486675,0.2137346224,204722.66074,0.4922444073,0.7550498594,0.9031729568,85026,1618662.5114,0
